predicted_class,predicted_proba
1,0.578470883540593
0,0.3405412030674683
0,0.4340769574546685
1,0.7323321366000349
0,0.4912730304333255
0,0.19339286998733932
0,0.3203479667386204
0,0.3280602552289896
1,0.7470713485338475
1,0.6714206771850871
0,0.33256730378988736
1,0.5256325798190906
0,0.38967880246024095
0,0.3180235088233939
0,0.34645949707162893
1,0.5269932433452044
0,0.3864308589268349
0,0.3415340707031786
0,0.27565690897264794
0,0.434390355620939
0,0.4415684625885671
0,0.439389685106827
1,0.5573736179354198
0,0.37437341606155305
1,0.7786338255810223
1,0.5509564168138027
0,0.15364853184932623
0,0.16042568146528208
0,0.43782549888061906
0,0.4385901821187712
0,0.4981924332861105
1,0.5055269607937407
1,0.5504292522747743
0,0.3518594779302854
1,0.674754762142554
0,0.43007467734703914
1,0.5397707585607426
0,0.37734765301731243
1,0.511620985936496
1,0.5813581696071839
0,0.28353340801168736
0,0.4357703996262088
1,0.5043427539213264
0,0.41196659227185967
0,0.3550387774516143
1,0.529879585349647
1,0.6592981945227356
0,0.435691832849297
1,0.6139045529168587
1,0.6862356147637712
1,0.5461374521060208
1,0.5225255103224963
0,0.28727031898108607
0,0.3970237537857766
1,0.5108088024231165
0,0.40940244738720477
0,0.22817944488905725
1,0.6796862042145251
0,0.4252262767965455
1,0.5368781201559863
0,0.23995913563605656
1,0.545486569784427
0,0.2600423181220013
0,0.36319887169640636
1,0.5313019803535977
0,0.21938090233566285
1,0.5751722525107258
0,0.49551200864182515
1,0.5239095525990632
0,0.4536303050171624
0,0.4026815593398841
0,0.42588664072264737
1,0.5180208948914061
1,0.6135393961177239
1,0.8016630035466906
1,0.5224302257490916
0,0.29420522183723113
0,0.36891881239220964
0,0.46098259163527877
0,0.4840696788318242
0,0.24073096263552216
1,0.6710872032433282
0,0.3651210396846266
0,0.38526017776889027
1,0.6808696437629685
0,0.4663957525600735
1,0.6642157946691096
0,0.37676583489560295
1,0.5839323873372628
0,0.43760714082097907
1,0.6420607518252556
0,0.3261594554492404
1,0.7030164560143758
0,0.35423093861513133
0,0.29495268529096946
0,0.4186002751080248
0,0.4552892085828318
1,0.7641220015036524
1,0.7000800533664634
0,0.20946385990774197
1,0.6075936351865545
1,0.5134602657783652
0,0.45702448419356173
0,0.36399499236618216
0,0.28739913561995173
1,0.6184452847291003
1,0.5606111384622898
1,0.5484154868335991
0,0.3645758120863959
1,0.7023096796415247
1,0.8611585253232351
0,0.468249856685292
0,0.4960033180237368
0,0.14401980560972916
1,0.7383234501092905
0,0.3122093787818225
0,0.4354993794832065
0,0.46698872215777126
1,0.6249748098721953
0,0.3673679667775966
0,0.4328386179873375
0,0.3073243117651962
1,0.675303666651863
0,0.21169955002804824
1,0.5532364285294232
0,0.31347919850533446
1,0.5584956650856164
0,0.45481289494261523
1,0.5049452215428389
1,0.6047943040643384
1,0.6355486719896022
1,0.7653250169009059
0,0.35712824237198687
0,0.46958109904309653
0,0.2789338331639882
0,0.3661357132081028
1,0.8680218507051127
0,0.35312802305255325
1,0.5605863273562484
1,0.8026637382369056
1,0.5972839066372752
0,0.2772500805474596
0,0.2690027342444435
0,0.4281139160400045
0,0.3138584671035931
0,0.2438513436289701
0,0.48536507009576235
0,0.38956453165805754
1,0.5080666954273467
1,0.5629806607241306
0,0.3600024315213351
